ps20-456.cpp;0;ps20-158.cpp;100.0;
ps20-51.cpp;1;ps20-204.cpp;100.0;2;ps20-452.cpp;86.9;
ps20-367.cpp;3;ps20-366.cpp;100.0;
ps20-432.cpp;4;ps20-431.cpp;100.0;
ps20-459.cpp;5;ps20-458.cpp;100.0;
ps20-434.cpp;6;ps20-423.cpp;100.0;
ps20-36.cpp;7;ps20-31.cpp;100.0;
ps20-319.cpp;8;ps20-308.cpp;100.0;
ps20-324.cpp;9;ps20-296.cpp;100.0;
ps20-137.cpp;10;ps20-109.cpp;100.0;
ps20-217.cpp;11;ps20-95.cpp;96.1;12;ps20-442.cpp;96.1;
ps20-262.cpp;13;ps20-384.cpp;96.7;14;ps20-469.cpp;80.6;
ps20-321.cpp;15;ps20-192.cpp;96.8;
ps20-207.cpp;16;ps20-205.cpp;92.3;
ps20-411.cpp;17;ps20-331.cpp;98.4;
ps20-435.cpp;18;ps20-422.cpp;91.3;
ps20-89.cpp;19;ps20-140.cpp;89.1;
ps20-468.cpp;20;ps20-460.cpp;91.1;
ps20-484.cpp;21;ps20-451.cpp;92.3;
ps20-390.cpp;22;ps20-379.cpp;89.5;
ps20-465.cpp;23;ps20-176.cpp;89.1;
ps20-163.cpp;24;ps20-265.cpp;93.1;25;ps20-381.cpp;84.8;
ps20-95.cpp;26;ps20-442.cpp;92.3;
ps20-148.cpp;27;ps20-145.cpp;86.9;
ps20-452.cpp;28;ps20-244.cpp;84.6;29;ps20-204.cpp;86.9;
ps20-293.cpp;30;ps20-184.cpp;88.0;
ps20-172.cpp;31;ps20-153.cpp;86.8;
ps20-43.cpp;32;ps20-30.cpp;86.0;
ps20-444.cpp;33;ps20-289.cpp;85.2;
ps20-333.cpp;34;ps20-223.cpp;90.3;
ps20-445.cpp;35;ps20-198.cpp;86.9;
ps20-75.cpp;36;ps20-485.cpp;82.9;
ps20-490.cpp;37;ps20-421.cpp;84.6;38;ps20-18.cpp;80.7;
ps20-425.cpp;39;ps20-349.cpp;84.6;
ps20-347.cpp;40;ps20-193.cpp;83.3;
ps20-131.cpp;41;ps20-124.cpp;80.4;
